Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimplCommerce,SearchOption,0,4,8,0,4,54,10,0,0,-1,0,6
SimplCommerce,SimpleProductWidgetComponentVm,0,0,4,0,0,7,0,0,0,-1,2,1
SimplCommerce,SimpleProductWidgetForm,0,0,1,0,0,4,0,0,1,-1,2,1
SimplCommerce,SimpleProductWidgetSetting,0,0,1,0,0,4,0,0,0,-1,1,4
SimplCommerce,CatalogCustomModelBuilder,0,1,0,0,1,47,1,0,1,-1,7,0
SimplCommerce,IProductTemplateProductAttributeRepository,0,1,0,0,0,4,1,1,0,-1,1,3
SimplCommerce,ProductTemplateProductAttributeRepository,1,2,0,0,2,12,2,0,1,1,3,1
SimplCommerce,ReviewSummaryChangedHandler,1,2,0,0,2,17,3,0,0,0,3,1
SimplCommerce,Brand,0,0,5,0,0,12,0,0,1,-1,1,8
SimplCommerce,CalculatedProductPrice,1,1,5,0,1,13,1,0,0,0,1,9
SimplCommerce,Category,0,0,14,0,0,23,0,0,1,-1,2,14
SimplCommerce,Product,0,7,35,0,7,121,9,0,2,-1,11,44
SimplCommerce,ProductAttribute,0,0,4,0,0,9,0,0,1,-1,3,6
SimplCommerce,ProductAttributeGroup,0,0,2,0,0,7,0,0,1,-1,2,2
SimplCommerce,ProductAttributeValue,0,0,5,0,0,8,0,0,1,-1,3,2
SimplCommerce,ProductCategory,0,0,6,0,0,9,0,0,1,-1,3,3
SimplCommerce,ProductLink,0,0,5,0,0,8,0,0,1,-1,3,3
SimplCommerce,ProductLinkType,0,0,0,0,0,7,0,0,0,-1,0,3
SimplCommerce,ProductMedia,0,0,5,0,0,8,0,0,1,-1,3,2
SimplCommerce,ProductOption,0,2,1,0,2,13,2,0,1,-1,1,4
SimplCommerce,ProductOptionCombination,0,0,6,0,0,10,0,0,1,-1,3,2
SimplCommerce,ProductOptionValue,0,0,7,0,0,12,0,0,1,-1,3,2
SimplCommerce,ProductPriceHistory,0,1,10,0,1,18,1,0,1,-1,3,4
SimplCommerce,ProductTemplate,0,1,2,0,1,16,1,0,1,-1,2,2
SimplCommerce,ProductTemplateProductAttribute,0,0,4,0,0,7,0,0,0,-1,2,5
SimplCommerce,ModuleInitializer,0,2,0,0,2,16,2,0,1,-1,14,0
SimplCommerce,BrandService,3,5,0,0,5,40,5,0,1,0,4,1
SimplCommerce,CategoryService,3,5,0,0,5,60,7,0,1,0,5,1
SimplCommerce,IBrandService,0,4,0,0,0,7,4,1,0,-1,1,3
SimplCommerce,ICategoryService,0,4,0,0,0,7,4,1,0,-1,2,3
SimplCommerce,IProductPricingService,0,3,0,0,0,6,3,1,0,-1,3,13
SimplCommerce,IProductService,0,3,0,0,0,6,3,1,0,-1,1,4
SimplCommerce,ProductPricingService,1,4,0,0,4,39,7,0,1,0,5,1
SimplCommerce,ProductService,3,4,0,0,4,53,7,0,1,0,4,1
SimplCommerce,OrderSummaryViewComponent,3,2,0,0,2,22,3,0,0,0,4,0
