Project,Design smell,Namespace,Class,File,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,ManageLoginsViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\ManageLoginsViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,RemoveLoginViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\RemoveLoginViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,SetPasswordViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\SetPasswordViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,UserInfoVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\UserInfoVm.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,VerifyPhoneNumberViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\VerifyPhoneNumberViewModel.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,VerifyPhoneNumberViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\VerifyPhoneNumberViewModel.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Events,EntityDeleting,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Events\EntityDeleting.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Events,EntityViewed,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Events\EntityViewed.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Events,ReviewSummaryChanged,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Events\ReviewSummaryChanged.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Events,UserSignedIn,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Events\UserSignedIn.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Extensions,EFConfigurationProviderExtension,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Extensions\EFConfigurationProviderExtension.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Extensions,LocalizedStringExtensions,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Extensions\LocalizedStringExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Extensions,SlugRouteValueTransformer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Extensions\SlugRouteValueTransformer.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core,SettingDefinitionExtensions,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Extensions\Settings\SettingDefinitionExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Extensions.TagHelpers,AppendVersionTagHelper,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Extensions\TagHelpers\AppendVersionTagHelper.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,CustomerGroupUser,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\CustomerGroupUser.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,Entity,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Entity.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,Media,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Media.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,Role,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Role.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,SimplConstants,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\SimplConstants.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,ThemeManifest,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\ThemeManifest.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,UserRole,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\UserRole.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Module.Core.Models,WidgetZoneIds,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\WidgetZoneIds.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Models,WidgetZoneIds,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\WidgetZoneIds.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Catalog.Areas.Catalog.Components,CategoryBreadcrumbViewComponent,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\CategoryBreadcrumbViewComponent.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Catalog.Areas.Catalog.Components,CategoryMenuViewComponent,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\CategoryMenuViewComponent.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Catalog.Areas.Catalog.Components,CategoryWidgetViewComponent,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\CategoryWidgetViewComponent.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Catalog.Areas.Catalog.Components,ProductWidgetViewComponent,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\ProductWidgetViewComponent.cs,
