Project,Design smell,Namespace,Class,File
SimplCommerce,Broken Modularization,SimplCommerce.Module.Reviews.Areas.Reviews.ViewModels,ReviewForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Reviews\Areas\Reviews\ViewModels\ReviewForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Reviews.Areas.Reviews.ViewModels,ReviewItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Reviews\Areas\Reviews\ViewModels\ReviewItem.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Reviews.Models,ReplyListItemDto,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Reviews\Models\ReplyListItemDto.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Reviews.Models,ReviewListItemDto,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Reviews\Models\ReviewListItemDto.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Reviews.Models,Reply,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Reviews\Models\Reply.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.ActivityLog.Models,Activity,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Models\Activity.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.ActivityLog.Models,MostViewEntityDto,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Models\MostViewEntityDto.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Vendors.Areas.Vendors.ViewModels,VendorForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Vendors\Areas\Vendors\ViewModels\VendorForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.News.Areas.News.ViewModels,NewsCategoryVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.News\Areas\News\ViewModels\NewsCategoryVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.News.Areas.News.ViewModels,NewsItemThumbnail,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.News\Areas\News\ViewModels\NewsItemThumbnail.cs
