Project,File,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclically-dependent Modularization,Deficient Encapsulation,Duplicate Abstraction,Duplicate Code,Empty Catch Block,Feature Envy,Hub-like Modularization,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Default,Multipath Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Unnecessary Abstraction,Unutilized Abstraction,Virtual Method Call from Constructor,Wide Hierarchy
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4.cs,0.0,0.0,0.0,3.3222591362126246,0.0,0.0,3.3222591362126246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3222591362126246,0.0,279.06976744186045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4Helper.cs,0.0,0.0,0.0,0.0,0.0,0.0,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333332,0.0,0.0,0.0,0.0,0.0,10.416666666666666,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4_Context.cs,0.0,0.0,0.0,0.0,0.0,0.0,55.55555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SerializeHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,1.8248175182481752,0.9124087591240876,0.0,0.0,0.0,0.0,0.9124087591240876,0.0,0.0,0.0,0.0,115.87591240875912,0.0,0.0,0.0,0.0,0.0,0.9124087591240876,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UnicodeHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27659574468085,63.82978723404254,0.0,0.0,0.0,0.0,0.0,21.27659574468085,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UrlHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826086956522,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UtilConvert.cs,0.0,0.0,0.0,3.205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.025641025641026,0.0,0.0,0.0,0.0,0.0,3.205128205128205,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\WeChatHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2258064516129026,0.0,0.0,0.0,3.2258064516129026,0.0,0.0,0.0,0.0,0.0,0.0,3.2258064516129026,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\XmlHelper.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.873015873015872,0.0,0.0
