Project,URL,Namespace,File,Line Count,Unutilized Abstraction,Unnecessary Abstraction,Duplicate Abstraction,Feature Envy,Deficient Encapsulation,Wide Hierarchy,Broken Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Long Method,Complex Method,Long Parameter List,Long Statement,Empty Catch Block,Magic Number,Missing Default,Complex Conditional,Broken Modularization,Insufficient Modularization,Cyclically-dependent Modularization,Cyclic Hierarchy,Multipath Hierarchy,Long Identifier,Virtual Method Call from Constructor,Hub-like Modularization,Imperative Abstraction,Duplicate Code,Multifaceted Abstraction,Unexploited Encapsulation,Missing Hierarchy
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\IpHelper.cs,51,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonConfigUtils.cs,242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\JsonHelper.cs,532,0,0,0,0,0,0,0,0,0,1,3,0,2,2,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\MD5Hepler.cs,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\NumberConverter.cs,174,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\PingYinHelper.cs,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RSAHelper.cs,390,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RSAHelperExtend.cs,385,1,0,1,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\RecursionHelper.cs,220,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper.SM,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4.cs,301,0,0,0,0,1,0,0,0,0,0,1,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper.SM,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4Helper.cs,96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
