Project,Method,LOC,CC,PC
greenshot,Dispose,4,1,0
greenshot,Dispose,3,1,1
greenshot,ExportCapture,0,1,3
greenshot,ProcessExport,25,5,2
greenshot,ToString,3,1,0
greenshot,AddTagEvents,15,2,3
greenshot,ShowPickerMenu,123,3,4
greenshot,ShowMenuAtCursor,32,4,1
greenshot,GetMenuItem,55,2,3
greenshot,CompareTo,11,3,1
greenshot,Dispose,4,1,0
greenshot,Dispose,3,1,1
greenshot,ProcessCapture,0,1,2
greenshot,AccessibleObjectFromWindow,7,1,3
greenshot,AccessibleObjectFromWindow,0,1,4
greenshot,AccessibleChildren,0,1,5
greenshot,ObjectFromLresult,0,1,3
greenshot,Accessible,7,2,1
greenshot,ActivateIETab,22,6,1
greenshot,Accessible,3,1,1
greenshot,Activate,3,1,0
greenshot,GetAccessibleChildren,11,2,2
greenshot,AnimatorBase,8,1,5
greenshot,ChangeDestination,3,1,1
greenshot,ChangeDestination,7,1,2
greenshot,QueueDestinationLeg,3,1,1
greenshot,QueueDestinationLeg,3,1,2
greenshot,QueueDestinationLeg,3,1,3
greenshot,QueueDestinationLeg,10,1,4
greenshot,Next,0,1,0
greenshot,RectangleAnimator,2,1,3
greenshot,RectangleAnimator,2,1,4
greenshot,RectangleAnimator,2,1,5
greenshot,Next,17,2,0
greenshot,PointAnimator,2,1,3
greenshot,PointAnimator,2,1,4
greenshot,PointAnimator,2,1,5
greenshot,Next,12,2,0
greenshot,SizeAnimator,2,1,3
greenshot,SizeAnimator,2,1,4
greenshot,SizeAnimator,2,1,5
greenshot,Next,12,2,0
greenshot,ColorAnimator,2,1,3
greenshot,ColorAnimator,2,1,4
greenshot,ColorAnimator,2,1,5
greenshot,Next,16,2,0
greenshot,IntAnimator,2,1,3
greenshot,IntAnimator,2,1,4
greenshot,IntAnimator,2,1,5
greenshot,Next,9,2,0
greenshot,Ease,5,1,3
greenshot,EaseIn,0,1,2
greenshot,EaseOut,0,1,2
greenshot,EaseInOut,3,1,3
greenshot,EaseInOut,0,1,2
greenshot,EaseIn,3,1,1
greenshot,EaseOut,3,1,1
greenshot,EaseInOut,3,1,1
greenshot,EaseIn,3,1,2
greenshot,EaseOut,4,1,2
greenshot,EaseInOut,9,2,2
greenshot,FromByteArray,17,1,1
greenshot,FromIntPtr,4,1,1
greenshot,ToByteArray,17,1,1
greenshot,FromPtrToByteArray,6,1,1
greenshot,Cache,2,1,0
greenshot,Cache,3,1,1
greenshot,Cache,3,1,1
greenshot,Cache,3,1,2
greenshot,Contains,6,1,1
greenshot,Add,3,1,2
greenshot,Add,29,2,3
greenshot,Remove,11,2,1
greenshot,CachedItem,19,3,3
greenshot,ExpireNow,7,2,0
greenshot,timerEvent_Elapsed,3,1,2
greenshot,NullImage,3,1,0
greenshot,Capture,4,1,0
greenshot,Capture,3,1,1
greenshot,Dispose,4,1,0
greenshot,Dispose,9,2,1
greenshot,Crop,17,2,1
greenshot,MoveMouseLocation,3,1,2
greenshot,AddMetaData,10,2,2
greenshot,ClearDestinations,3,1,0
greenshot,RemoveDestination,6,2,1
greenshot,AddDestination,6,2,1
greenshot,HasDestination,10,3,1
greenshot,CaptureDetails,3,1,0
greenshot,GetClipboardOwner,41,3,0
greenshot,SetDataObject,33,1,2
greenshot,GetDataObject,39,2,0
greenshot,ContainsText,10,3,1
greenshot,ContainsImage,4,1,0
greenshot,ContainsImage,88,10,1
greenshot,IterateClipboardContent,9,4,1
greenshot,AvailableFileDescriptors,15,2,1
greenshot,IterateFileDescriptors,33,5,2
greenshot,ContentAsString,11,1,3
greenshot,IsValidStream,3,1,1
greenshot,GetImage,13,3,0
greenshot,GetImages,64,5,1
greenshot,GetDrawables,64,5,1
greenshot,GetImage,43,6,1
greenshot,GetDrawable,43,6,1
greenshot,GetImageForFormat,40,8,2
greenshot,GetDrawableForFormat,50,7,2
greenshot,GetText,7,2,1
greenshot,SetClipboardData,5,1,1
greenshot,GetHtmlString,13,1,2
greenshot,GetHtmlDataUrlString,14,1,2
greenshot,SetClipboardData,147,8,1
greenshot,BitmapToByteArray,18,2,1
greenshot,SetClipboardData,8,1,2
greenshot,GetFormats,13,3,1
greenshot,ContainsFormat,6,1,2
greenshot,ContainsFormat,3,1,1
greenshot,ContainsFormat,17,4,2
greenshot,GetFromDataObject,7,2,2
greenshot,GetImageFilenames,10,2,1
greenshot,GetFromDataObject,14,2,2
greenshot,IsExperimentalFeatureEnabled,3,1,1
greenshot,CreateOutputFilePath,24,3,0
greenshot,GetDefault,0,1,1
greenshot,PreCheckValue,18,5,2
greenshot,BeforeSave,11,1,0
greenshot,AfterLoad,119,24,0
greenshot,ValidateAndCorrectOutputFilePath,6,2,0
greenshot,ValidateAndCorrectOutputFileAsFullpath,7,2,0
greenshot,DeleteObject,0,1,1
greenshot,CredentialsDialog,2,1,1
greenshot,CredentialsDialog,2,1,2
greenshot,CredentialsDialog,2,1,3
greenshot,CredentialsDialog,6,1,4
greenshot,Show,3,1,1
greenshot,Show,10,2,4
greenshot,Confirm,13,3,1
greenshot,ShowDialog,30,2,1
greenshot,GetInfo,12,3,1
greenshot,GetFlags,36,7,0
greenshot,GetDialogResult,0,1,1
greenshot,CredUIPromptForCredentials,0,1,10
greenshot,CredUIConfirmCredentials,0,1,2
greenshot,GetAllDestinations,6,1,0
greenshot,GetDestination,14,4,1
greenshot,ExportCapture,3,1,4
greenshot,ExportCapture,8,2,4
greenshot,DisplayKeyAttribute,3,1,1
greenshot,DisplayKeyAttribute,2,1,0
greenshot,EffectConverter,4,1,0
greenshot,CanConvertFrom,7,2,2
greenshot,CanConvertTo,15,4,2
greenshot,ConvertTo,40,7,4
greenshot,ConvertFrom,11,3,3
greenshot,ApplyDropShadowEffectValues,39,9,2
greenshot,ApplyTornEdgeEffectValues,53,14,2
greenshot,RetrieveDropShadowEffectValues,5,1,2
greenshot,RetrieveTornEdgeEffectValues,4,1,2
greenshot,IsNet45OrNewer,4,1,0
greenshot,GetGreenshotVersion,30,4,1
greenshot,EnvironmentToString,95,13,1
greenshot,ExceptionToString,40,9,1
greenshot,BuildReport,7,1,1
greenshot,EventDelay,3,1,1
greenshot,Check,9,1,0
greenshot,OpenInExplorer,32,4,1
greenshot,GetColorAt,0,1,2
greenshot,SetColorAt,0,1,3
greenshot,GetColorAt,0,1,3
greenshot,SetColorAt,0,1,3
greenshot,Lock,0,1,0
greenshot,Unlock,0,1,0
greenshot,UnlockAndReturnBitmap,0,1,0
greenshot,DrawTo,0,1,2
greenshot,DrawTo,0,1,2
greenshot,Contains,0,1,2
greenshot,SetResolution,0,1,2
greenshot,Contains,0,1,2
greenshot,SetColorAt,0,1,3
greenshot,SetColorAt,0,1,3
greenshot,GetColorAt,0,1,2
greenshot,GetColorAt,0,1,3
greenshot,SetColorAt,0,1,3
greenshot,SetColorAt,0,1,3
greenshot,Contains,0,1,2
greenshot,GetBlendedColorAt,0,1,2
greenshot,Create,3,1,1
greenshot,SetResolution,3,1,2
greenshot,Create,0,1,2
greenshot,CreateCloneOf,3,1,2
greenshot,CreateCloneOf,3,1,2
greenshot,CreateCloneOf,11,2,3
greenshot,CreateEmpty,6,1,3
greenshot,FastBitmap,21,2,2
greenshot,UnlockAndReturnBitmap,8,2,0
greenshot,Dispose,4,1,0
greenshot,Dispose,13,3,1
greenshot,Lock,11,2,0
greenshot,Unlock,7,2,0
greenshot,DrawTo,3,1,2
greenshot,DrawTo,9,2,2
greenshot,Contains,3,1,2
greenshot,GetColorAt,0,1,2
greenshot,SetColorAt,0,1,3
greenshot,GetColorAt,0,1,3
greenshot,SetColorAt,0,1,3
greenshot,Contains,11,2,2
greenshot,SetColorAt,8,2,3
greenshot,SetColorAt,8,2,3
greenshot,Contains,3,1,2
greenshot,GetColorAt,5,1,2
