Project,Design smell,Namespace,Class,File,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Confluence.Forms,ConfluenceTreePicker,DesigniteProjects\greenshot\src\Greenshot.Plugin.Confluence\Forms\ConfluenceTreePicker.xaml.cs,
greenshot,Broken Modularization,Greenshot.Plugin.Jira,JiraConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Jira\JiraConfiguration.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Plugin.Jira,JiraDestination,DesigniteProjects\greenshot\src\Greenshot.Plugin.Jira\JiraDestination.cs,
greenshot,Broken Modularization,Greenshot.Plugin.Office,OfficeConfiguration,DesigniteProjects\greenshot\src\Greenshot.Plugin.Office\OfficeConfiguration.cs,
greenshot,Broken Modularization,Greenshot.Plugin.Office.OfficeExport.Entities,OneNotePage,DesigniteProjects\greenshot\src\Greenshot.Plugin.Office\OfficeExport\Entities\OneNotePage.cs,
greenshot,Broken Modularization,Greenshot.Plugin.Win10.Internal,ShareInfo,DesigniteProjects\greenshot\src\Greenshot.Plugin.Win10\Internal\ShareInfo.cs,
greenshot,Broken Modularization,Greenshot.Editor.Controls,CustomProfessionalColorTable,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\CustomToolStripProfessionalRenderer.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,DrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,DrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,
greenshot,Hub-like Modularization,Greenshot.Editor.Drawing,DrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,DrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,DrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,Surface,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Surface.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,Surface,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Surface.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,Surface,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Surface.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Drawing,TextContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\TextContainer.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Forms,ImageEditorForm,DesigniteProjects\greenshot\src\Greenshot.Editor\Forms\ImageEditorForm.cs,
greenshot,Insufficient Modularization,Greenshot.Editor.Forms,ImageEditorForm,DesigniteProjects\greenshot\src\Greenshot.Editor\Forms\ImageEditorForm.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Destinations,EditorDestination,DesigniteProjects\greenshot\src\Greenshot.Editor\Destinations\EditorDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,CropContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CropContainer.cs,
