Project,File Path,Line Count
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\Base.cs,11
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\ComProgIdAttribute.cs,88
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\COMWrapper.cs,619
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\IAppVisibility.cs,43
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\IDispatch.cs,47
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\IOleCommandTarget.cs,40
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\IOleWindow.cs,37
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\IServiceProvider.cs,36
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Interop\IUnknown.cs,38
greenshot,"DesigniteProjects\greenshot\src\Greenshot.Base\obj\Debug\net472\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs",4
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\obj\Debug\net472\Greenshot.Base.AssemblyInfo.cs,25
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\EditorInitialize.cs,50
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Configuration\EditorConfiguration.cs,182
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Configuration\LanguageKeys.cs,83
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\BindableToolStripButton.cs,49
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\BindableToolStripComboBox.cs,49
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\BindableToolStripDropDownButton.cs,82
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\ColorButton.cs,100
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\CustomToolStripProfessionalRenderer.cs,84
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\FontFamilyComboBox.cs,142
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\MenuStripEx.cs,65
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\NonJumpingPanel.cs,70
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\Pipette.cs,206
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\ToolStripColorButton.cs,98
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\ToolStripEx.cs,66
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\ToolStripNumericUpDown.cs,88
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Destinations\EditorDestination.cs,154
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ArrowContainer.cs,161
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CropContainer.cs,276
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CursorContainer.cs,130
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,688
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,784
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\EllipseContainer.cs,178
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\FilterContainer.cs,117
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\FreehandContainer.cs,325
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\HighlightContainer.cs,114
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\IconContainer.cs,139
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ImageContainer.cs,270
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\LineContainer.cs,123
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\MetafileContainer.cs,81
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ObfuscateContainer.cs,90
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Positions.cs,38
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\RectangleContainer.cs,169
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\SpeechbubbleContainer.cs,405
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\StepLabelContainer.cs,226
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Surface.cs,2765
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\SvgContainer.cs,81
greenshot,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\TextContainer.cs,695
